epoch_s,L1_import_Wh,L2_import_Wh,L3_import_Wh
1788386400,0,0,0
1788397200,180,95,60
1788408000,420,230,145
1788418800,790,520,270
1788429600,1280,910,480
1788440400,1690,1260,730
1788451200,2230,1810,1040
1788462000,2760,2290,1380
1788472740,3010,2510,1540
1788472800,0,0,0
1788483600,140,80,55
1788494400,360,210,130
1788505200,720,470,260
1788516000,1150,850,510
1788526800,1580,1210,790
1788537600,2050,1690,1120
1788548400,2590,2140,1470
1788559140,2860,2370,1650
1788559200,0,0,0
1788570000,120,70,45
1788580800,310,175,105
1788591600,610,390,220
1788602400,1010,720,420
1788613200,1390,1080,690
1788624000,1870,1510,980
1788634800,2410,1980,1320
1788645540,2680,2220,1490
